# Monthly rainfall in Atlanta since 1996. Units: Inches. Source: http://www.weather.gov/ffc/rainfall_scorecard
Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total
1996	8.26	3.82	6.42	2.91	2.12	1.70	2.14	4.66	4.32	0.89	3.22	4.14	44.60
1997	5.65	7.93	2.18	4.28	3.36	3.91	4.71	1.32	4.83	5.12	3.34	5.05	51.68
1998	5.83	7.10	6.25	5.12	1.23	3.58	2.93	5.54	4.45	0.26	1.97	1.90	46.16
1999	5.34	1.97	3.32	1.14	4.42	5.83	3.43	1.26	4.19	2.41	3.34	2.21	38.86
2000	4.89	1.26	3.63	2.63	1.86	1.11	2.70	4.03	4.93	0.88	5.02	2.62	35.56
2001	2.77	3.61	9.08	3.30	3.31	6.69	2.54	1.03	2.19	0.79	0.87	2.22	38.40
2002	5.35	2.54	5.49	1.83	3.52	2.81	2.59	0.77	6.39	5.94	5.36	5.23	47.82
2003	2.00	3.51	7.08	3.44	9.94	7.34	5.35	3.48	2.41	1.49	4.17	2.69	52.90
2004	2.84	4.60	1.04	2.80	2.58	5.99	2.20	3.63	13.65	2.19	7.26	4.82	53.60
2005	2.57	5.58	7.49	4.36	1.98	2.91	14.63	8.28	0.07	1.98	2.91	3.67	56.43
2006	5.10	5.50	2.93	2.48	2.86	5.80	1.31	8.66	3.31	3.04	4.39	3.08	48.46
2007	3.95	2.63	1.31	1.79	2.05	3.66	1.85	3.48	2.92	2.47	0.96	4.78	31.85
2008	2.85	4.68	5.17	3.22	2.80	0.58	7.17	3.77	0.75	3.48	2.64	4.39	41.50
2009	2.88	3.70	7.13	5.18	4.54	2.34	5.02	6.14	8.94	8.71	5.75	9.10	69.43
2010	5.38	4.17	4.24	2.56	6.87	5.21	4.37	3.32	1.60	3.33	5.48	1.62	48.15
2011	2.63	4.25	9.06	3.06	2.93	2.20	2.67	1.51	2.30	1.70	2.49	4.43	39.23
2012	5.14	2.23	3.52	2.23	3.41	2.28	3.53	3.89	1.37	1.83	1.67	5.93	37.03
2013	4.90	7.50	4.58	5.51	5.26	9.57	8.48	5.24	2.74	2.57	1.87	7.80	66.02
2014	3.35	3.81	3.12	5.90	2.29	5.10	4.60	5.80	0.75	3.54	3.85	5.51	47.62
2015	4.36	4.15	2.98	7.79	4.44	6.91	5.01	5.77	3.93	2.55	7.98	12.51	68.38
2016	5.14	7.39	2.21	3.15	1.25	3.26	3.66	3.06	3.43	0.16	2.98	3.00	38.69
