# Snapshot taken on Thu Apr 27 18:30:52 EDT 2017 from: https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
	City	State	Count (2015)	Census (2010)	Change	Land area (2014) [English]	Land area (2014) [SI]	Population density (2010) [English]	Population density (2010) [SI]	Location
1	New York[6]	New York	8,550,405	8,175,133	+4.59%	302.6 sq mi	783.8 km2	27,012 per sq mi	10,430 km−2	40.6643°N 73.9385°W
2	Los Angeles	California	3,971,883	3,792,621	+4.73%	468.7 sq mi	1,213.9 km2	8,092 per sq mi	3,124 km−2	34.0194°N 118.4108°W
3	Chicago	Illinois	2,720,546	2,695,598	+0.93%	227.6 sq mi	589.6 km2	11,842 per sq mi	4,572 km−2	41.8376°N 87.6818°W
4	Houston[7]	Texas	2,296,224	2,100,263	+9.33%	599.6 sq mi	1,552.9 km2	3,501 per sq mi	1,352 km−2	29.7805°N 95.3863°W
5	Philadelphia[8]	Pennsylvania	1,567,442	1,526,006	+2.72%	134.1 sq mi	347.3 km2	11,379 per sq mi	4,394 km−2	40.0094°N 75.1333°W
6	Phoenix	Arizona	1,563,025	1,445,632	+8.12%	516.7 sq mi	1,338.3 km2	2,798 per sq mi	1,080 km−2	33.5722°N 112.0880°W
7	San Antonio	Texas	1,469,845	1,327,407	+10.73%	460.9 sq mi	1,193.8 km2	2,880 per sq mi	1,112 km−2	29.4724°N 98.5251°W
8	San Diego	California	1,394,928	1,307,402	+6.69%	325.2 sq mi	842.2 km2	4,020 per sq mi	1,552 km−2	32.8153°N 117.1350°W
9	Dallas	Texas	1,300,092	1,197,816	+8.54%	340.5 sq mi	881.9 km2	3,518 per sq mi	1,358 km−2	32.7757°N 96.7967°W
10	San Jose	California	1,026,908	945,942	+8.56%	176.6 sq mi	457.3 km2	5,359 per sq mi	2,069 km−2	37.2969°N 121.8193°W
11	Austin	Texas	931,830	790,390	+17.89%	322.48 sq mi	835.2 km2	2,653 per sq mi	1,024 km−2	30.3072°N 97.7560°W
12	Jacksonville[9]	Florida	868,031	821,784	+5.63%	747.0 sq mi	1,934.7 km2	1,120 per sq mi	433 km−2	30.3370°N 81.6613°W
13	San Francisco[10]	California	864,816	805,235	+7.40%	46.9 sq mi	121.4 km2	17,179 per sq mi	6,633 km−2	37.7751°N 122.4193°W
14	Indianapolis[11]	Indiana	853,173	820,445	+3.99%	361.4 sq mi	936.1 km2	2,270 per sq mi	876 km−2	39.7767°N 86.1459°W
15	Columbus	Ohio	850,106	787,033	+8.01%	217.2 sq mi	562.5 km2	3,624 per sq mi	1,399 km−2	39.9848°N 82.9850°W
16	Fort Worth	Texas	833,319	741,206	+12.43%	339.8 sq mi	880.1 km2	2,181 per sq mi	842 km−2	32.7795°N 97.3463°W
17	Charlotte	North Carolina	827,097	731,424	+13.08%	297.7 sq mi	771.0 km2	2,457 per sq mi	949 km−2	35.2087°N 80.8307°W
18	Seattle	Washington	684,451	608,660	+12.45%	83.9 sq mi	217.4 km2	7,251 per sq mi	2,800 km−2	47.6205°N 122.3509°W
19	Denver[12]	Colorado	682,545	600,158	+13.73%	153.0 sq mi	396.3 km2	3,923 per sq mi	1,515 km−2	39.7618°N 104.8806°W
20	El Paso	Texas	681,124	649,121	+4.93%	255.2 sq mi	661.1 km2	2,543 per sq mi	982 km−2	31.8484°N 106.4270°W
21	Detroit	Michigan	677,116	713,777	−5.14%	138.8 sq mi	359.4 km2	5,144 per sq mi	1,986 km−2	42.3830°N 83.1022°W
22	Washington[13]	District of Columbia	672,228	601,723	+11.72%	61.0 sq mi	158.1 km2	9,856 per sq mi	3,806 km−2	38.9041°N 77.0171°W
23	Boston	Massachusetts	667,137	617,594	+8.02%	48.3 sq mi	125.0 km2	12,793 per sq mi	4,939 km−2	42.3320°N 71.0202°W
